study,proxy,Source,Age,norm,Country,norm_leoss
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,39,0.949,Korea,0.946128817438954
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,40,0.949,Korea,0.9432129515889301
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,41,0.949,Korea,0.9399796994544487
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,42,0.949,Korea,0.9364586631837233
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,43,0.949,Korea,0.9326794449249686
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,44,0.949,Korea,0.9286716468263988
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,45,0.915,Korea,0.9244648710362282
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,46,0.915,Korea,0.9200887197026709
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,47,0.915,Korea,0.9155727949739416
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,48,0.915,Korea,0.910946698998254
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,49,0.915,Korea,0.9062400339238229
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,50,0.915,Korea,0.9010112429808403
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,51,0.915,Korea,0.89493795731629
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,52,0.915,Korea,0.888228560953572
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,53,0.915,Korea,0.8810914379160885
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,54,0.915,Korea,0.873734972227239
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,55,0.828,Korea,0.8663675479104251
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,56,0.828,Korea,0.8591975489890475
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,57,0.828,Korea,0.8524333594865072
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,58,0.828,Korea,0.8462833634262047
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,59,0.828,Korea,0.8409559448315411
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,60,0.828,Korea,0.8360179804541376
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,61,0.828,Korea,0.8309467738680514
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,62,0.828,Korea,0.8258163493303384
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,63,0.828,Korea,0.8207007310980537
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,64,0.828,Korea,0.8156739434282526
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,65,0.787,Korea,0.8108100105779911
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,66,0.787,Korea,0.8061829568043238
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,67,0.787,Korea,0.80186680636430685
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,68,0.787,Korea,0.7979355835149953
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,69,0.787,Korea,0.7944633125134444
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,70,0.787,Korea,0.79152401761671
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,71,0.787,Korea,0.7890963946704977
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,72,0.787,Korea,0.7870742045262299
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,73,0.787,Korea,0.7854040689495355
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,74,0.787,Korea,0.7840326097060446
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,75,0.787,Korea,0.7829064485613864
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,76,0.787,Korea,0.7819722072811907
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,77,0.787,Korea,0.7811765076310865
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,78,0.787,Korea,0.7804659713767038
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,79,0.787,Korea,0.7797872202836718
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,80,0.787,Korea,0.7790868761176201
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,81,0.787,Korea,0.778471747934693
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,82,0.787,Korea,0.7780763320590763
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,83,0.787,Korea,0.7778887811584623
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,84,0.787,Korea,0.7778972479005435
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,85,0.787,Korea,0.7780898849530117
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,86,0.787,Korea,0.7784548449835597
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,87,0.787,Korea,0.778980280659879
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,88,0.787,Korea,0.7796543446496627
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,89,0.787,Korea,0.7804651896206022
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,90,0.787,Korea,0.7814009682403904
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,91,0.787,Korea,0.7824618021849081
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,92,0.787,Korea,0.7836585721949425
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,93,0.787,Korea,0.7849955695355432
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,94,0.787,Korea,0.7864770854717607
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,95,0.787,Korea,0.7881074112686453
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,96,0.787,Korea,0.7898908381912472
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,97,0.787,Korea,0.7918316575046167
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,98,0.787,Korea,0.793934160473804
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,99,0.787,Korea,0.7962026383638596
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,100,0.787,Korea,0.7986413824398336
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,18,0.938,Netherlands,0.9363659774851801
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,19,0.938,Netherlands,0.9350768839642142
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,20,0.938,Netherlands,0.933774400544763
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,21,0.938,Netherlands,0.9324563656060335
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,22,0.938,Netherlands,0.9311206175272331
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,23,0.938,Netherlands,0.9297649946875688
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,24,0.938,Netherlands,0.9283873354662479
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,25,0.91,Netherlands,0.9269854782424777
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,26,0.91,Netherlands,0.9255572613954652
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,27,0.91,Netherlands,0.9241005233044179
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,28,0.91,Netherlands,0.9226131023485429
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,29,0.91,Netherlands,0.9210870829725204
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,30,0.91,Netherlands,0.9195204611457275
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,31,0.91,Netherlands,0.9179199425344159
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,32,0.91,Netherlands,0.916292232804839
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,33,0.91,Netherlands,0.9146440376232482
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,34,0.91,Netherlands,0.9129820626558964
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,35,0.922,Netherlands,0.9113130135690356
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,36,0.922,Netherlands,0.9096435960289183
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,37,0.922,Netherlands,0.9079805157017966
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,38,0.922,Netherlands,0.9063304782539232
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,39,0.922,Netherlands,0.9046691712165675
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,40,0.922,Netherlands,0.9029717758258838
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,41,0.922,Netherlands,0.9012442383054523
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,42,0.922,Netherlands,0.8994925048788525
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,43,0.922,Netherlands,0.8977225217696637
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,44,0.922,Netherlands,0.8959402352014662
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,45,0.874,Netherlands,0.8941515913978394
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,46,0.874,Netherlands,0.892362536582363
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,47,0.874,Netherlands,0.8905790169786169
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,48,0.874,Netherlands,0.8888069788101804
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,49,0.874,Netherlands,0.8870523683006337
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,50,0.874,Netherlands,0.8853675508310177
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,51,0.874,Netherlands,0.883778656836132
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,52,0.874,Netherlands,0.8822522801201934
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,53,0.874,Netherlands,0.8807550144874197
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,54,0.874,Netherlands,0.8792534537420273
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,55,0.869,Netherlands,0.8777141916882341
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,56,0.869,Netherlands,0.8761038221302566
